,neutral lipids,neutral Phospholipids,extracellular water,intracellular water,lipoprotein ratio,albumin ratio,acidic phospholipid fraction,intracellular protein,intracellular water pH
Lung,0.032375795,0.018099632,0.30591925,0.509895,0.168,0.212,0.005752073,0.1088775,6.6
Gut,0.043644578,0.016445783,0.090726747,0.704819277,0.141,0.158,0.003162651,0.135542169,7
Spleen,0.01077776,0.014415549,0.24002895,0.480525,0.207,0.097,0.004283393,0.234973,7
Heart,0.014743524,0.011163681,0.1317806,0.65704,0.16,0.157,0.002369596,0.174666,7.1
Muscle,0.01084588,0.007808871,0.11671996,0.6804768,0.059,0.064,0.001659487,0.1752,6.81
Adipose,0.788693822,0.001479048,0.1317806,0.0248368,0.068,0.049,0.000369802,0.0446684,7.1
Kidney,0.013154205,0.026303912,0.13742834,0.6435744,0.137,0.13,0.005513523,0.1654198,7.22
Skin,0.035100596,0.006433298,0.30027151,0.355482,0.096,0.277,0.001930424,0.2820702,7
Brain,0.092208408,0.00354618,0.15248898,0.6728302,0.041,0.048,0.000945777,0.06848974,7.1
Bone,0.0153,0.00198,0.094129,0.234,0.05,0.1,0.00072,0.189,7
Liver,0.017946348,0.030511507,0.11954383,0.5952114,0.161,0.086,0.005842745,0.223488,7.23
RestOfBody,0,0,0,0,0,0,0,0,7
RBCs,0.00113991,0.003305387,0,0.664,0.00E+00,0,0.000569704,0.331,7.2
Plasma,0.00174,0.005,0.9782773,0.94129,1.00E+00,1,9.70E-04,0.05871,7.4
